,V1,V2,V3,,
703,1220,0.01,84.40514469,,
704,1220,0.03,82.95819936,,
705,1220,0.1,84.08360129,,
706,1220,0.3,84.08360129,,
707,1220,1,84.24437299,,
708,1220,3,83.60128617,,
709,1220,10,83.27974277,,
710,1220,30,83.92282958,,
711,1220,100,83.92282958,,
712,1210,0.01,83.92282958,,
713,1210,0.03,84.5659164,,
714,1210,0.1,84.40514469,,
715,1210,0.3,83.92282958,,
716,1210,1,83.76205788,,
717,1210,3,84.5659164,,
718,1210,10,84.08360129,,
719,1210,30,82.63665595,,
720,1210,100,84.08360129,,
721,1200,0.01,83.27974277,,
722,1200,0.03,84.5659164,,
723,1200,0.1,84.5659164,,
724,1200,0.3,82.79742765,,
725,1200,1,84.7266881,,
726,1200,3,83.44051447,,
727,1200,10,84.08360129,,
728,1200,30,84.88745981,,
729,1200,100,82.79742765,,
730,1190,0.01,84.40514469,,
731,1190,0.03,84.5659164,,
732,1190,0.1,84.5659164,,
733,1190,0.3,85.04823151,,
734,1190,1,83.92282958,,
735,1190,3,84.5659164,,
736,1190,10,82.79742765,,
737,1190,30,84.40514469,,
738,1190,100,84.24437299,,
739,1180,0.01,84.08360129,,
740,1180,0.03,83.44051447,,
741,1180,0.1,85.20900322,,
742,1180,0.3,82.95819936,,
743,1180,1,83.44051447,,
744,1180,3,84.08360129,,
745,1180,10,85.53054662,,
746,1180,30,84.08360129,,
747,1180,100,83.60128617,,
748,1170,0.01,84.7266881,,
749,1170,0.03,84.08360129,,
750,1170,0.1,82.47588424,,
751,1170,0.3,82.95819936,,
752,1170,1,83.44051447,,
753,1170,3,83.92282958,,
754,1170,10,86.01286174,,
755,1170,30,84.5659164,,
756,1170,100,85.53054662,,
757,1160,0.01,84.7266881,,
758,1160,0.03,85.20900322,,
759,1160,0.1,83.92282958,,
760,1160,0.3,85.20900322,,
761,1160,1,84.7266881,,
762,1160,3,84.7266881,,
763,1160,10,84.08360129,,
764,1160,30,84.24437299,,
765,1160,100,83.11897106,,
766,1150,0.01,84.88745981,,
767,1150,0.03,84.24437299,,
768,1150,0.1,84.24437299,,
769,1150,0.3,85.20900322,,
770,1150,1,83.92282958,,
771,1150,3,84.5659164,,
772,1150,10,84.88745981,,
773,1150,30,85.36977492,,
774,1150,100,85.69131833,,
775,1140,0.01,83.11897106,,
776,1140,0.03,84.40514469,,
777,1140,0.1,82.79742765,,
778,1140,0.3,85.04823151,,
779,1140,1,85.20900322,,
780,1140,3,84.40514469,,
781,1140,10,84.88745981,,
782,1140,30,85.36977492,,
783,1140,100,83.92282958,,
784,1130,0.01,85.20900322,,
785,1130,0.03,83.44051447,,
786,1130,0.1,84.7266881,,
787,1130,0.3,84.7266881,,
788,1130,1,84.08360129,,
789,1130,3,84.88745981,,
790,1130,10,83.92282958,,
791,1130,30,84.40514469,,
